consecutive_number,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_,f12_,f13_,f14_,f15_
121570,Florida,Urban,2016-07-21T19:37:00Z,Daylight,26.27501111,-80.12518889,Dry,Not Reported,Straight,Level,No,57,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
63236,California,Urban,2016-11-23T06:43:00Z,Daylight,34.04844444,-118.44804167,Dry,Concrete,Curve Left,Downhill,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
10135,Alabama,Rural,2016-04-02T13:25:00Z,Daylight,32.54537222,-86.45321389,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
61469,California,Urban,2016-07-01T19:38:00Z,Daylight,37.55438889,-122.02913889,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,60,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122434,Florida,Urban,2016-11-08T09:15:00Z,Daylight,27.71602778,-82.67934444,Dry,Not Reported,Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
270204,Minnesota,Urban,2016-08-10T17:06:00Z,Daylight,43.87528889,-93.27681389,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
481226,Texas,Urban,2016-05-13T12:11:00Z,Daylight,32.91468333,-96.95434444,Dry,Not Reported,Straight,Level,"Yes, Exceeded Speed Limit",96,Not Distracted,None/Apparently Normal,"Rain, Snow, Fog, Smoke, Sand, Dust",Clear
122733,Florida,Urban,2016-12-04T19:00:00Z,Dark – Lighted,30.41211944,-81.56491111,Dry,Not Reported,Straight,Level,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
61863,California,Rural,2016-09-18T02:24:00Z,Dark – Lighted,38.51097778,-121.77945833,Dry,Concrete,Straight,Level,No,65,Not Distracted,Asleep or Fatigued,No Obstruction Noted,Clear
420727,Pennsylvania,Rural,2016-10-17T23:35:00Z,Dark – Lighted,39.98065,-75.206075,Dry,"Blacktop, Bituminous, or Asphalt",Curve Left,Level,"Yes, Specifics Unknown",90,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
